Career,Min_10th_Marks,Min_12th_Marks,Required_Subjects,Entrance_Exams,Higher_Education,Best_Colleges
Construction Worker,0,0,"Physical fitness, Teamwork","N/A","On-the-job training, Apprenticeships","N/A"
Delivery Person,0,0,"Time management, Navigation skills","N/A","On-the-job training","N/A"
Housekeeper,0,0,"Attention to detail, Time management","N/A","On-the-job training","N/A"
Retail Sales Associate,0,0,"Customer service, Communication skills","N/A","On-the-job training","N/A"
Warehouse Worker,0,0,"Physical fitness, Teamwork","N/A","On-the-job training","N/A"
Gardener/Nursery Worker,0,0,"Basic gardening skills, Physical fitness","N/A","On-the-job training","N/A"
Food Service Worker,0,0,"Customer service, Food safety","N/A","On-the-job training","N/A"
Janitor/Night Cleaner,0,0,"Attention to detail, Physical fitness","N/A","On-the-job training","N/A"
Factory Worker,0,0,"Attention to detail, Manual dexterity","N/A","On-the-job training","N/A"
Parking Attendant,0,0,"Customer service, Time management","N/A","On-the-job training","N/A"
Grocery Stock Clerk,0,0,"Organization, Attention to detail","N/A","On-the-job training","N/A"
Car Wash Attendant,0,0,"Attention to detail, Physical fitness","N/A","On-the-job training","N/A"
Landscaper,0,0,"Basic gardening skills, Physical fitness","N/A","On-the-job training","N/A"
Pet Care Assistant,0,0,"Animal handling, Basic care knowledge","N/A","On-the-job training","N/A"
Construction Laborer,0,0,"Physical fitness, Teamwork","N/A","On-the-job training","N/A"
Recycling Sorter,0,0,"Attention to detail, Manual dexterity","N/A","On-the-job training","N/A"
Delivery Driver Assistant,0,0,"Teamwork, Communication skills","N/A","On-the-job training","N/A"
Event Setup Crew,0,0,"Physical fitness, Teamwork","N/A","On-the-job training","N/A"
Security Guard (Unarmed),0,0,"Observation skills, Communication","N/A","On-the-job training","N/A"
House Painter,0,0,"Attention to detail, Physical fitness","N/A","On-the-job training","N/A"
Maid/Nanny,0,0,"Childcare skills, Attention to detail","N/A","On-the-job training","N/A"
Laundry Worker,0,0,"Time management, Attention to detail","N/A","On-the-job training","N/A"
Dishwasher,0,0,"Physical stamina, Cleanliness","N/A","On-the-job training","N/A"
Cinema Usher,0,0,"Customer service, Basic communication","N/A","On-the-job training","N/A"
Toll Booth Operator,0,0,"Basic math, Alertness","N/A","On-the-job training","N/A"
Petrol Pump Attendant,0,0,"Customer interaction, Basic math","N/A","On-the-job training","N/A"
Amusement Park Attendant,0,0,"Safety awareness, Friendly demeanor","N/A","On-the-job training","N/A"
Farm Laborer,0,0,"Physical fitness, Basic farming knowledge","N/A","On-the-job training","N/A"
Baggage Handler,0,0,"Teamwork, Physical strength","N/A","On-the-job training","N/A"
Roadside Vendor Helper,0,0,"Basic sales skills, Communication","N/A","On-the-job training","N/A"
Furniture Mover,0,0,"Physical fitness, Team coordination","N/A","On-the-job training","N/A"
Street Food Vendor Assistant,0,0,"Basic cooking skills, Customer service","N/A","On-the-job training","N/A"
Construction Site Helper,0,0,"Physical stamina, Tool handling","N/A","On-the-job training","N/A"
Mall Maintenance Staff,0,0,"Cleaning skills, Observation","N/A","On-the-job training","N/A"
Carpenter Helper,0,0,"Tool usage, Attention to detail","N/A","On-the-job training","N/A"
Painter Assistant,0,0,"Basic painting skills, Safety awareness","N/A","On-the-job training","N/A"
Courier Helper,0,0,"Navigation, Physical fitness","N/A","On-the-job training","N/A"
Cleaning Crew for Events,0,0,"Time management, Teamwork","N/A","On-the-job training","N/A"
Street Sweeper,0,0,"Physical stamina, Routine work","N/A","On-the-job training","N/A"
Scrap Collector,0,0,"Awareness, Physical effort","N/A","On-the-job training","N/A"
Laundry Pickup/Delivery Assistant,0,0,"Punctuality, Route planning","N/A","On-the-job training","N/A"
Tea Stall Helper,0,0,"Basic hospitality, Cleanliness","N/A","On-the-job training","N/A"
Cable Installation Assistant,0,0,"Tool use, Basic electrical awareness","N/A","On-the-job training","N/A"
Water Can Delivery Person,0,0,"Strength, Route knowledge","N/A","On-the-job training","N/A"
Hotel Kitchen Helper,0,0,"Basic cooking, Hygiene awareness","N/A","On-the-job training","N/A"
Catering Helper,0,0,"Teamwork, Food handling","N/A","On-the-job training","N/A"
Tent Setup Crew (Events),0,0,"Lifting, Team coordination","N/A","On-the-job training","N/A"
Plumber Assistant,0,0,"Tool handling, Observation","N/A","On-the-job training","N/A"
Electrician Helper,0,0,"Basic wiring knowledge, Safety awareness","N/A","On-the-job training","N/A"
Manual Rickshaw Puller,0,0,"Endurance, Local navigation","N/A","On-the-job training","N/A"
Watchman (Building/Gatekeeper),0,0,"Alertness, Communication","N/A","On-the-job training","N/A"
